タイプ,回数/項目,内容
評価基準,実施報告書などの提出物,80%
評価基準,取り組み姿勢やプロジェクトへの貢献度,20%
授業計画,第1回,オリエンテーション，グループの決定（全体）
授業計画,第2回,大学で求められるアカデミックスキルとは（全体）
授業計画,第3回,課題1(1)：思考方法やその整理(奥田)
授業計画,第4回,課題1(2)：理系の作文とは(奥田)
授業計画,第5回,課題2(1)：科学者や技術者に求められる倫理観（情報倫理），危機管理，アントレプレナーシップについて(吉岡)
授業計画,第6回,課題2(2)：文献調査，文献の整理と引用(吉岡)
授業計画,第7回,課題3(1)：データの扱い方(神谷直希)
授業計画,第8回,課題3(2)：データ処理手法の基本(神谷直希)
授業計画,第9回,課題4(1)：考えを効果的に伝える方法（表現技術）(大久保)
授業計画,第10回,課題4(2)：理系プレゼンテーションの基本的考え方(大久保)
授業計画,第11回,課題5(1)：情報科学とプログラミング(入部)
授業計画,第12回,課題5(2)：プログラミングの必要性，学問としてのプログラミング(入部)
授業計画,第13回,（暫定）情報社会の法と倫理(外部講師)
授業計画,第14回,（暫定）図書館の利用方法(図書館職員)
授業計画,第15回,全体のまとめ（プログラミングについて，３ポリシーの説明など）（全体）
