タイプ,回数/項目,内容
評価基準,中間試験,35%
評価基準,最終試験,35%
評価基準,すべての提出物,20%
評価基準,授業参加度,10%
授業計画,第1回,イントロダクション(授業の説明)+7A(課題)
授業計画,第2回,7A(本文解説)+7B(課題)
授業計画,第3回,7A(小テスト)+7B(本文解説)+8A(課題)
授業計画,第4回,7B(小テスト)+8A(本文解説)+8B(課題)
授業計画,第5回,8A(小テスト)+8B(本文解説)+9A(課題)
授業計画,第6回,8B(小テスト)+9A(本文解説)+9B(課題)
授業計画,第7回,9A(小テスト)+9B(本文解説)+10A(課題)
授業計画,第8回,7A(小テスト)+中間試験
授業計画,第9回,9B(小テスト)+10A(本文解説)+10B(課題)
授業計画,第10回,10A(小テスト)+10B(本文解説)+11A(課題)
授業計画,第11回,10B(小テスト)+11A(本文解説)+11B(課題)
授業計画,第12回,11A(小テスト)+11B(本文解説)+12A(課題)
授業計画,第13回,11B(小テスト)+12A(本文解説)+12B(課題)
授業計画,第14回,12A(小テスト)+12B(本文解説)
授業計画,第15回,12B(小テスト)+最終試験
