タイプ,回数/項目,内容
評価基準,Participation,10%
評価基準,Presentations (Short talks),20%
評価基準,Quizzes and spot tests,10%
評価基準,Homework and class writing,20%
評価基準,Final written test,40%
授業計画,第1回,Orientation / Ice-breaking activities/assessment (Writing and speaking)
授業計画,第2回,Current events in the news: introduction / Vocabulary check/reading
授業計画,第3回,Comprehension tasks / discussion and opinions / writing
授業計画,第4回,Communication strategies and effective presentation skills: New topic vocabulary
授業計画,第5回,Study skills and effective note-taking / being a good listener
授業計画,第6回,Social Media Dilemma: Introduction / useful phrases/vocabulary check and quiz
授業計画,第7回,Video trailer / reading / comprehension and discussion / opinions (pros and cons)
授業計画,第8回,Agreeing and disagreeing / ways to express opinions/discussion of controversial topics
授業計画,第9回,Education and gender: Introduction/analysis of key words and phrases / Discussion and writing (educational experiences)
授業計画,第10回,Reading: Girls in Afghanistan struggle for an education/comprehension tasks and critical thinking activity
授業計画,第11回,opinions and comments (short talk) / writing
授業計画,第12回,Group dynamics and leading discussions: Presenting group opinions
授業計画,第13回,Modern trends: Introduction and group discussions about fashion/movies/sport / social behaviour
授業計画,第14回,Student’s choice (short talk) / writing (report – independent study)
授業計画,第15回,Review of semester’s activities
授業計画,,End of semester test
