タイプ,回数/項目,内容
評価基準,中間試験,20%
評価基準,期末試験,20%
評価基準,演習課題,30%
評価基準,授業への積極性・授業態度,30%
授業計画,第1回,コンピュータ環境の紹介，Linux，Xウィンドウシステムと基本アプリケーション（電子メール，Webブラウザ，Teams，VPN接続），情報倫理【伊藤，入部，太田，大橋，坪倉】
授業計画,第2回,ファイル操作(1) 基礎（エディタ，ファイルの作成，コピー，移動，削除）【入部】
授業計画,第3回,ファイル操作(2) 応用（ディレクトリ操作，ファイルの種類，パーミッション）【入部】
授業計画,第4回,パイプ，リダイレクション【入部】
授業計画,第5回,LaTeXを用いた文書作成(1)（作成フロー，典型エラーと対処法，コマンドと環境，数式，表，ページ設定）【伊藤】
授業計画,第6回,LaTeXを用いた文書作成(2)（図表，相互参照，図の作成（Inkscape，gnuplot），プログラムリストの挿入）【伊藤】
授業計画,第7回,LaTeXを用いた文書作成(3)（レポート作成）【伊藤】
授業計画,第8回,前半のまとめ、タッチタイピング実習【入部，伊藤，太田，大橋，坪倉】
授業計画,第9回,"Webサイトの作成(1) HTML，CSS, Webページの公開【太田】"
授業計画,第10回,Webサイトの作成(2) JavaScript【太田】
授業計画,第11回,アプリケーションプログラムの活用(1) Mathematica入門【太田】
授業計画,第12回,アプリケーションプログラムの活用(2) Mathematica基礎【太田】
授業計画,第13回,アプリケーションプログラムの活用(3) MATLAB入門【坪倉】
授業計画,第14回,アプリケーションプログラムの活用(4) MATLAB基礎【坪倉】
授業計画,第15回,後半のまとめ
授業計画,,定期試験
