タイプ,回数/項目,内容
評価基準,期末試験,80%
評価基準,宿題(13回分),20%
授業計画,第1回,ガイダンス
授業計画,第2回,実数、数列
授業計画,第3回,関数と極限
授業計画,第4回,連続関数（１）：基本的性質，中間値の定理，最⼤値・最⼩値の定理
授業計画,第5回,連続関数（２）：初等関数
授業計画,第6回,微分法（１）：導関数の定義，計算法，合成関数・逆関数の微分
授業計画,第7回,微分法（２）：助変数表⽰の微分，接線の⽅程式
授業計画,第8回,微分法（３）：ライプニッツの公式，平均値の定理
授業計画,第9回,微分法（４）：ロピタルの定理，テイラーの定理
授業計画,第10回,微分法（５）：関数の増減と極値
授業計画,第11回,積分法（１）：不定積分の基礎，有理関数・無理関数・三角関数の不定積分（１）
授業計画,第12回,積分法（２）：有理関数・無理関数・三角関数の不定積分（２）
授業計画,第13回,積分法（３）：定積分の定義，定積分の基本的性質，部分積分法，置換積分法
授業計画,第14回,積分法（４）：広義積分，図形への応⽤
授業計画,第15回,まとめ
授業計画,,定期試験
