タイプ,回数/項目,内容
評価基準,中間試験,50%
評価基準,定期試験,50%
授業計画,第1回,ガイダンス，N進数による数の表現，基数変換
授業計画,第2回,N進数の加減算，補数加算，符号体系
授業計画,第3回,論理演算とは，ブール代数と基本法則
授業計画,第4回,論理演算と論理記号，真理値表と論理関数，ド・モルガンの定理
授業計画,第5回,論理関数の標準形（加法形と乗法形）
授業計画,第6回,論理関数の簡単化（ブール代/カルノー図を使った簡単化）
授業計画,第7回,乗法形の簡単化，冗長項による簡単化
授業計画,第8回,前半のまとめ，中間試験（到達度確認試験）
授業計画,第9回,中間試験の解答・解説，組合せ回路とは
授業計画,第10回,加算器，減算器
授業計画,第11回,比較器，エンコーダとデコーダ，マルチプレクサ
授業計画,第12回,順序回路とは，状態遷移表と状態遷移図
授業計画,第13回,フリップフロップ（SR-FF，T-FF，JK-FF，D-FF）
授業計画,第14回,順序回路の設計，応用方程式，レジスタの設計
授業計画,第15回,カウンタの設計，後半まとめ
授業計画,,定期試験
